 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Email, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Category, License #
G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",744104,03192 230628,9434266561,102,bbgbpant@gmail.com,Dr.Ganesh Samaddar,03192 230628,9434266561,ganeshsamadder7@gmail.com,Government,DL1/CLAA/ANI
I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,03192 248759,8001452200,N/A,,Dr.Smiriti Mathur,03192 248759,8001452200,mesmriti@yahoo.com,Government,DL2/CLAA/ANI
Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",744104,"03192 233193, 03192 233993",9474247585,03192 233193,pillarbloodbank2016@gmail.com,Dr. Sr. Cross Mary,"03192 233193, 03192 233993",9474247585,crossgracy2003@yahoo.co.in,Charity,DL3/CLAA/ANI
"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,08554 246344,9441192365,NA,NA,Dr.G. Parvathi & Dr.G. Ramanjaneyulu Naidu,NA,"09441125444, 09440286555",ircsbloodbank.anantapur@gmail.com,Charity,13/ATP/AP/2005/BB/R
Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",515001,08554 275024,9866695858,NA,bloodbankgghatp@gmail.com,Dr. Shiva kumar & Dr. Swapna ,08554 275024,"09866695858, 09912938380",bloodbankgghatp@gmail.com,Government,50/ATP/AP/97/BB/R
Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",515001,8554246344,Dist.Secretary 9866023293,,ircsbloodbank.anantapur@gmail.com,,,,,Charity,
Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",515661,08559 244259,9493268861,NA,NA,Dr. Hariharanadha Sharma,NA,9177155517,syanakishore@yahoo.co.in,Charity,13/AT/AP/2003/BB/R
South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",515801,08552 227166,9701374501,NA,NA,NA,NA,NA,"scrhbloodbank@gmail.com					",Government,79/AT/AP/97/BB/G
Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",515201,08556 225900,NA,NA,ircshup@gmail.com,Dr. M. Satyam,9490978739,9490978739,ircshup@gmail.com,Charity,"01/ATP/AP/2011/BB	"
Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",515591,08494 221544,9989738689,NA,kadiriircs@gmail.com,"Dr. G. P. Subbrayudu	",NA,9989738689,kadiriircs@gmail.com,Government,"ATP/AP/2008/BB/G	"
S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",515134,08555 287900,9490360321,NA,saikiran_ptp@yahoo.co.in,Dr. Sai Kiran,NA,9490360321,sssihmspg@gmail.com,Government,
District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",517001,NA,9849229482,NA,bloodbankctr1@gmail.com,Dr. K. Babu Rajendra Prasad,NA,9849229482,bloodbankctr1@gmail.com,Government,53/CPR/AP/1997/BB/R
Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",517001,8572220287,,,indian red cross society indian red corss society ,,,,,Charity,
M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",517001,08572 220287 ,9849229482,NA,ircschittoor@gmail.com,"Dr. M. V. Narayana Reddy	",NA,8019383106,ircschittoor@gmail.com,Charity,"17/CT/AP/2002/BB/R		"
M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam
",517425,08570 256737,9391833741,NA,pathpesimsr@gmail.com,Dr. B. M. Prasanth ,NA,9391833741,pathpesimsr@gmail.com,Private,8/CP/AP/2003/BB/R
